,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1223,1224,15654229,O'Neill,699,Spain,Male,47,1,0.0,2,0,1,30117.44,0
1224,1225,15628298,Johnstone,500,Spain,Female,47,8,128486.11,1,1,0,179227.12,0
1225,1226,15733387,Pham,707,Spain,Female,53,6,109663.47,1,1,1,52110.45,0
1229,1230,15607598,Muravyov,575,Spain,Female,31,6,0.0,2,1,1,95686.42,0
1231,1232,15749482,Zack,772,Spain,Male,30,4,78653.05,1,1,0,1790.48,0
1248,1249,15770030,Conti,689,Spain,Female,28,3,0.0,2,1,1,192449.02,0
1255,1256,15615032,Peng,624,Spain,Male,46,3,0.0,2,1,1,62825.03,0
1262,1263,15747591,Chung,665,Spain,Female,40,1,173432.55,1,0,1,116766.79,0
1264,1265,15732199,Gether,837,Spain,Male,31,9,104678.62,1,0,1,50972.6,0
1274,1275,15625916,Chien,562,Spain,Male,32,6,161628.66,1,1,0,91482.5,0
1278,1279,15641690,Hsiao,681,Spain,Male,67,7,0.0,2,0,1,163714.92,0
1280,1281,15671590,H?,741,Spain,Male,25,4,0.0,2,1,1,73873.65,0
1281,1282,15779182,Chia,790,Spain,Male,46,8,182364.53,1,0,0,139266.48,1
1285,1286,15658532,Nnamutaezinwa,520,Spain,Female,63,5,162278.32,1,1,1,34765.33,0
1286,1287,15590993,Findlay,579,Spain,Male,37,5,152212.88,2,0,0,120219.14,0
1287,1288,15565701,Ferri,698,Spain,Female,39,9,161993.89,1,0,0,90212.38,0
1288,1289,15597239,Ku,548,Spain,Male,39,7,131468.44,1,1,0,164975.82,0
1291,1292,15679611,Andrews,734,Spain,Female,37,2,130404.92,1,0,0,34548.74,0
1295,1296,15737748,McWilliam,534,Spain,Female,33,3,151233.62,1,0,0,199336.63,0
1296,1297,15803365,Coffee,653,Spain,Male,55,2,70263.83,1,0,1,62347.71,0
1301,1302,15800856,Ewen,643,Spain,Male,34,3,83132.09,1,1,1,21360.88,0
1306,1307,15709117,Fanucci,823,Spain,Female,46,3,81576.75,1,1,1,28370.95,1
1307,1308,15638806,Blackburn,645,Spain,Male,49,2,0.0,2,0,0,10023.15,0
1309,1310,15690079,Boniwell,591,Spain,Male,30,8,124857.69,2,0,0,50485.7,0
1315,1316,15734634,Bocharova,607,Spain,Female,27,5,100912.19,1,0,0,7631.27,0
1323,1324,15629244,Bryant,635,Spain,Male,50,7,159453.64,2,0,0,54560.79,1
1327,1328,15688007,Liu,703,Spain,Male,20,3,165260.98,1,1,1,41626.78,0
1330,1331,15742854,Lettiere,640,Spain,Female,46,8,0.0,2,1,0,89043.19,0
1335,1336,15576683,Yin,568,Spain,Female,43,9,0.0,1,1,0,125870.79,1
1336,1337,15682563,Larionova,618,Spain,Male,38,5,126473.99,1,1,0,91972.49,0
1339,1340,15761132,Capon,682,Spain,Male,46,7,128029.72,1,1,1,62615.35,0
1340,1341,15645511,Chukwudi,727,Spain,Male,43,2,97403.18,1,1,1,107415.02,1
1342,1343,15640268,Avdeeva,652,Spain,Male,71,4,0.0,1,1,1,120107.1,0
1343,1344,15645778,Reid,670,Spain,Male,42,3,81589.04,1,1,0,188227.8,0
1345,1346,15714567,Chan,568,Spain,Female,26,6,0.0,2,0,0,166495.2,0
1349,1350,15778135,T'ao,575,Spain,Male,43,3,0.0,1,1,0,83594.51,0
1353,1354,15623644,Frolov,626,Spain,Male,29,7,0.0,2,1,0,49361.84,0
1354,1355,15683403,Lombardi,611,Spain,Male,52,7,0.0,1,0,1,73585.18,1
1355,1356,15615029,Munro,734,Spain,Male,39,6,0.0,1,1,1,95135.27,0
1363,1364,15789095,T'ang,775,Spain,Male,30,4,0.0,2,0,1,57461.13,0
1366,1367,15621353,Hudson,645,Spain,Female,37,7,0.0,2,1,0,13589.93,0
1368,1369,15745843,Kinlaw,689,Spain,Female,31,4,0.0,2,1,1,136610.02,0
1377,1378,15808228,Tuan,768,Spain,Female,44,6,60603.4,1,1,1,178045.97,0
1378,1379,15682834,Johnstone,715,Spain,Female,35,4,40169.88,2,1,1,199857.47,0
1382,1383,15617982,Pirozzi,661,Spain,Female,42,3,0.0,2,1,0,35989.41,0
1384,1385,15690647,Rogers,582,Spain,Female,46,8,67563.31,1,1,0,44506.09,1
1392,1393,15730540,Simpson,794,Spain,Male,45,8,88656.37,2,1,0,116547.31,0
1395,1396,15697095,Zetticci,705,Spain,Male,46,7,0.0,2,1,0,117273.35,0
1396,1397,15748797,Dale,636,Spain,Female,33,0,0.0,1,1,0,92277.47,1
1399,1400,15775546,Laurens,517,Spain,Female,29,5,0.0,2,1,0,103402.88,0
1401,1402,15619029,Bykov,620,Spain,Female,43,2,0.0,2,1,0,20670.1,0
1404,1405,15797276,Sturt,662,Spain,Female,41,4,90350.77,1,1,0,75884.65,1
1406,1407,15629617,Cook,572,Spain,Male,23,2,126873.52,1,0,1,67040.12,0
1416,1417,15667651,Young,585,Spain,Female,33,8,0.0,2,1,0,114182.07,0
1420,1421,15753969,K'ung,724,Spain,Male,45,5,83888.54,1,0,1,34121.81,0
1422,1423,15794874,Quinones,696,Spain,Male,41,9,127523.75,1,0,1,191417.42,0
1424,1425,15596671,Endrizzi,603,Spain,Female,42,8,91611.12,1,0,0,144675.3,1
1432,1433,15687959,Landman,573,Spain,Female,44,4,0.0,1,1,1,94862.93,0
1435,1436,15596021,K?,598,Spain,Male,44,8,0.0,2,1,0,148487.9,0
1441,1442,15688713,McCall,627,Spain,Male,44,6,0.0,1,1,1,114469.55,0
1447,1448,15697311,Nebechukwu,697,Spain,Male,56,5,110802.03,1,1,1,50230.31,1
1450,1451,15676242,Artemova,632,Spain,Male,31,3,136556.44,1,1,0,82152.83,1
1454,1455,15608653,Davison,521,Spain,Female,34,7,70731.07,1,1,1,20243.97,1
1456,1457,15789546,Ojiofor,639,Spain,Male,28,8,0.0,2,1,0,126561.07,0
1461,1462,15640627,Wan,611,Spain,Male,34,4,0.0,2,1,0,170950.58,0
1464,1465,15595067,Zhirov,637,Spain,Female,40,6,0.0,2,1,1,181610.6,0
1472,1473,15729956,Akabueze,726,Spain,Female,26,1,80780.16,1,1,1,19225.85,0
1481,1482,15583748,McGuigan,592,Spain,Male,38,8,0.0,2,1,0,180426.2,0
1484,1485,15607713,Kaeppel,850,Spain,Female,29,1,0.0,2,1,1,197996.65,0
1487,1488,15716491,Akabueze,710,Spain,Female,51,4,93656.95,1,0,1,141400.51,1
1488,1489,15625824,Kornilova,596,Spain,Male,30,6,121345.88,4,1,0,41921.75,1
1490,1491,15761976,Su,797,Spain,Female,31,8,0.0,2,1,0,117916.63,0
1492,1493,15744517,Esposito,735,Spain,Male,50,9,0.0,1,0,0,166677.35,1
1493,1494,15686963,Hardiman,680,Spain,Female,30,3,0.0,1,1,0,160131.58,0
1496,1497,15799156,Okwuadigbo,569,Spain,Male,38,8,0.0,2,0,0,79618.79,0
1511,1512,15701765,Vincent,575,Spain,Female,37,0,0.0,2,0,0,30114.32,0
1514,1515,15788676,Riley,539,Spain,Male,38,8,71460.67,2,1,1,10074.05,0
1515,1516,15602497,Honore,850,Spain,Male,39,6,133214.13,1,0,1,20769.88,0
1518,1519,15634375,Duncan,710,Spain,Female,36,8,0.0,2,0,0,83206.19,0
1521,1522,15591130,Medvedev,507,Spain,Female,29,6,0.0,2,0,1,94780.9,0
1523,1524,15751531,Shaw,598,Spain,Male,41,8,0.0,2,1,1,161954.43,0
1525,1526,15568360,Rolon,569,Spain,Female,41,4,139840.36,1,1,1,163524.7,0
1529,1530,15697283,Mackenzie,578,Spain,Male,23,8,0.0,2,1,0,112124.98,0
1535,1536,15614818,Trevisani,764,Spain,Female,33,9,168964.77,1,0,1,118982.51,0
1538,1539,15723411,Jamieson,607,Spain,Female,36,4,98266.3,1,1,1,46416.36,0
1543,1544,15747677,Gordon,656,Spain,Male,69,6,163975.09,1,1,1,36108.5,0
1544,1545,15618926,Nwachukwu,520,Spain,Male,43,7,0.0,2,1,1,36202.74,0
1547,1548,15807294,Walker,653,Spain,Female,30,2,88243.29,2,1,1,96658.26,0
1548,1549,15618581,Diribe,668,Spain,Male,25,8,0.0,2,1,1,135112.09,0
1550,1551,15599552,Conway,639,Spain,Female,54,2,0.0,2,1,1,53843.71,0
1551,1552,15749177,Maslow,730,Spain,Female,52,7,0.0,2,0,1,122398.84,0
1556,1557,15772777,Onyemachukwu,850,Spain,Female,29,10,0.0,2,1,1,94815.04,0
1563,1564,15777576,Frost,559,Spain,Female,40,5,139129.44,1,0,1,32635.54,0
1570,1571,15607133,Shih,717,Spain,Female,49,1,110864.38,2,1,1,124532.9,1
1577,1578,15576714,Manna,687,Spain,Female,21,8,0.0,2,1,1,154767.34,0
1584,1585,15631460,Swift,671,Spain,Female,42,3,0.0,2,1,1,128449.33,0
1590,1591,15651802,Day,632,Spain,Female,39,5,97854.37,2,1,0,93536.38,0
1592,1593,15729668,Elizabeth,521,Spain,Male,29,3,60280.62,1,1,0,154271.41,0
1593,1594,15741728,Atkins,591,Spain,Male,36,7,135216.8,1,1,1,122022.89,0
1617,1618,15801062,Matthews,557,Spain,Female,40,4,0.0,2,0,1,105433.53,0
1621,1622,15777797,Kovalyova,689,Spain,Male,38,5,75075.14,1,1,1,8651.92,1
1624,1625,15681758,Baddeley,525,Spain,Female,25,10,0.0,2,1,0,69361.95,0
1628,1629,15810347,Todd,662,Spain,Female,30,9,0.0,2,0,1,157884.83,0
1631,1632,15685372,Azubuike,350,Spain,Male,54,1,152677.48,1,1,1,191973.49,1
1634,1635,15735222,Ignatieff,705,Spain,Female,23,5,0.0,2,1,1,73131.73,0
1637,1638,15678626,Okonkwo,538,Spain,Female,31,0,0.0,2,0,0,179453.66,0
1640,1641,15661528,Ashbolt,583,Spain,Male,47,5,102562.23,1,1,0,92708.1,0
1641,1642,15754177,Bazarova,712,Spain,Male,53,2,111061.01,2,0,0,26542.17,0
1642,1643,15683544,Buccho,626,Spain,Male,62,3,0.0,1,1,1,65010.74,0
1649,1650,15569423,Cunningham,731,Spain,Male,41,4,0.0,2,1,0,22299.27,0
1651,1652,15585067,Wilson,634,Spain,Male,31,9,108632.48,1,1,1,179485.96,1
1659,1660,15741429,Hudson,680,Spain,Female,31,9,119825.75,2,1,1,101139.3,0
1667,1668,15718247,Hayden,606,Spain,Female,46,8,0.0,2,1,1,183717.94,0
1670,1671,15716994,Green,559,Spain,Male,24,3,114739.92,1,1,0,85891.02,1
1675,1676,15658459,Bates,784,Spain,Male,33,10,0.0,2,1,0,162022.47,0
1676,1677,15658057,Padovesi,812,Spain,Female,44,8,0.0,3,1,0,66926.83,1
1677,1678,15801767,Yin,784,Spain,Female,40,8,0.0,2,1,0,108891.3,0
1680,1681,15811236,Burns,705,Spain,Male,39,6,133261.13,1,1,1,78065.9,0
1681,1682,15746749,Fleming,681,Spain,Female,32,3,0.0,2,1,1,59679.9,0
1686,1687,15570205,Tao,682,Spain,Male,36,5,0.0,2,1,1,147758.51,0
1687,1688,15589348,Le Grand,850,Spain,Male,37,4,137204.77,1,1,1,28865.59,0
1689,1690,15700854,Cunningham,595,Spain,Male,35,8,0.0,1,1,0,100015.79,1
1690,1691,15758836,Godfrey,675,Spain,Male,36,3,54098.18,2,0,1,54478.52,0
1691,1692,15772933,Mai,591,Spain,Male,31,8,0.0,1,1,1,141677.33,0
1693,1694,15689612,Pirozzi,554,Spain,Female,34,8,0.0,1,0,1,106981.03,0
1702,1703,15713644,Marshall,686,Spain,Male,22,5,0.0,2,1,0,158974.45,0
1706,1707,15788483,Kerr,719,Spain,Male,38,0,0.0,1,1,0,126876.47,0
1709,1710,15713843,Kao,850,Spain,Male,30,2,0.0,2,0,1,27937.12,0
1710,1711,15567993,Palmer,828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0
1712,1713,15744983,Burgmann,712,Spain,Male,47,1,139887.01,1,1,1,95719.73,0
1716,1717,15799479,Coles,809,Spain,Male,33,9,0.0,1,1,1,124045.65,0
1717,1718,15684269,Gray,707,Spain,Female,35,3,56674.48,1,1,0,17987.4,1
1718,1719,15762745,Macvitie,648,Spain,Male,32,8,0.0,1,1,0,133653.38,0
1719,1720,15746970,Townsend,760,Spain,Female,57,1,0.0,2,1,1,25101.17,0
1722,1723,15624391,Thomson,595,Spain,Female,30,5,100683.54,1,1,1,178361.04,0
1727,1728,15734491,Lombardo,676,Spain,Female,36,4,0.0,2,1,1,3173.31,0
1728,1729,15675320,Leonard,758,Spain,Female,40,5,93499.82,2,0,0,123218.81,0
1731,1732,15721730,Amechi,601,Spain,Female,44,4,0.0,2,1,0,58561.31,0
1737,1738,15683677,Schiavone,769,Spain,Male,39,9,0.0,1,1,1,47722.79,0
1738,1739,15596414,Chandler,796,Spain,Male,41,8,107525.07,1,1,0,18510.41,0
1746,1747,15765694,Bage,584,Spain,Female,59,1,0.0,1,0,1,130260.11,1
1753,1754,15777639,McGregor,595,Spain,Female,23,10,101126.66,2,0,0,37042.8,0
1755,1756,15778410,Clarke,533,Spain,Female,52,7,0.0,1,0,1,194113.99,1
1768,1769,15770525,T'an,760,Spain,Male,28,1,141038.57,2,0,0,16287.38,0
1770,1771,15689980,Willis,725,Spain,Female,36,4,118520.26,1,0,0,131173.9,1
1773,1774,15721303,O'Meara,640,Spain,Male,34,1,137523.02,1,0,0,24761.36,0
1781,1782,15771636,Marshall,793,Spain,Female,36,0,0.0,1,0,0,148993.47,0
1783,1784,15693381,Tipton,533,Spain,Male,38,1,135289.33,2,0,1,152956.33,0
1786,1787,15603846,Fang,711,Spain,Male,37,2,0.0,2,1,0,83978.86,1
1789,1790,15773017,Todd,763,Spain,Female,37,6,0.0,2,1,1,149705.25,0
1791,1792,15776467,De Salis,702,Spain,Female,35,8,14262.8,2,1,0,54689.16,0
1792,1793,15746451,Barry,686,Spain,Male,41,7,102749.72,1,0,1,194913.86,0
1793,1794,15777922,Afamefuna,629,Spain,Male,36,1,161757.87,2,1,1,146371.72,0
1799,1800,15612776,McKay,850,Spain,Female,39,10,0.0,2,1,1,143030.09,0
1802,1803,15779247,Pai,683,Spain,Female,24,8,98567.1,1,1,0,187987.01,0
1818,1819,15800517,Huang,633,Spain,Male,32,5,163340.12,2,1,1,74415.2,0
1819,1820,15712319,Chukwukere,714,Spain,Male,45,8,150900.29,2,0,1,139889.15,0
1820,1821,15797389,Hsia,604,Spain,Male,23,9,124577.33,1,1,1,7267.25,0
1821,1822,15621432,Lee,630,Spain,Male,35,1,0.0,2,0,0,186826.22,0
1822,1823,15779390,Theus,850,Spain,Female,31,4,91292.7,1,1,1,162149.07,0
1827,1828,15740104,Tuan,425,Spain,Female,22,7,169649.73,2,0,1,136365.0,1
1828,1829,15792649,Patterson,547,Spain,Female,31,9,0.0,2,0,0,99294.22,0
1834,1835,15694188,Obidimkpa,700,Spain,Female,46,5,56580.95,2,0,1,45424.13,0
1836,1837,15802478,Spring,767,Spain,Male,31,6,0.0,2,1,1,195668.0,0
1840,1841,15569209,Amaechi,464,Spain,Female,34,5,76001.57,1,1,1,158668.87,0
1842,1843,15747222,Bentley,745,Spain,Female,35,8,0.0,2,1,1,116581.1,0
1846,1847,15812338,Sopuluchukwu,485,Spain,Female,30,7,0.0,1,1,0,107067.37,0
1847,1848,15758845,Rocher,590,Spain,Female,37,0,64345.21,1,0,1,61759.33,1
1849,1850,15583090,Komar,581,Spain,Female,29,8,0.0,2,1,0,46735.19,0
1852,1853,15573741,Aliyeva,698,Spain,Male,38,10,95010.92,1,1,1,105227.86,0
1856,1857,15690925,McIntosh,527,Spain,Female,29,2,27755.97,1,1,0,97468.44,1
1860,1861,15778190,Onyekaozulu,639,Spain,Female,28,8,97840.72,1,1,1,178222.77,0
1863,1864,15641183,Chin,731,Spain,Male,25,8,96950.21,1,1,0,97877.92,0
1870,1871,15782574,Warner,624,Spain,Male,33,6,0.0,2,0,0,76551.7,0
1871,1872,15734999,Stephenson,634,Spain,Male,36,2,85996.19,1,1,0,15887.68,0
1872,1873,15706593,Ellis,850,Spain,Female,50,10,0.0,2,1,1,33741.84,0
1874,1875,15590268,Chu,529,Spain,Male,35,5,95772.97,1,1,1,112781.5,0
1875,1876,15763055,Onuchukwu,572,Spain,Male,31,5,98108.79,1,0,1,119996.95,0
1877,1878,15643630,Quaife,770,Spain,Male,55,9,63127.41,2,1,0,185211.28,1
1878,1879,15641043,Scott,648,Spain,Male,35,7,0.0,2,1,1,78436.36,0
1881,1882,15669922,Conti,530,Spain,Female,36,2,0.0,2,1,1,14721.8,0
1885,1886,15663830,De Luca,563,Spain,Male,32,6,0.0,2,1,1,19720.08,0
1886,1887,15566958,Li Fonti,667,Spain,Male,39,7,167557.12,1,1,1,41183.02,0
1887,1888,15680918,Freeman,613,Spain,Male,34,8,117300.02,1,1,0,139410.08,0
1894,1895,15783398,Rizzo,535,Spain,Female,49,7,115309.75,1,1,0,111421.77,0
1896,1897,15604588,Li Fonti,850,Spain,Female,38,3,0.0,2,0,1,179360.76,0
1897,1898,15735428,Talbot,673,Spain,Female,37,0,0.0,2,0,0,82351.06,0
1899,1900,15806880,Boyle,627,Spain,Female,30,6,0.0,1,1,1,113408.47,0
1901,1902,15781034,Mason,796,Spain,Male,67,5,0.0,2,0,1,54871.02,0
1902,1903,15622017,Bruno,773,Spain,Female,33,10,0.0,1,1,1,98820.09,0
1903,1904,15705885,Smeaton,752,Spain,Male,36,2,0.0,2,1,1,45570.84,0
1904,1905,15677382,Miller,625,Spain,Female,69,1,107569.96,1,1,1,182336.45,0
1908,1909,15626983,Ledford,605,Spain,Female,48,6,0.0,2,1,1,40062.99,0
1909,1910,15773605,Iadanza,670,Spain,Female,32,3,0.0,2,1,0,46175.7,0
1910,1911,15811261,Alaniz,617,Spain,Male,42,0,70105.87,1,1,1,120830.73,0
1914,1915,15741554,Streeter,746,Spain,Male,31,2,113836.27,1,1,1,174815.54,0
1915,1916,15769051,Shaw,503,Spain,Male,25,7,0.0,1,0,1,192841.13,0
1929,1930,15623791,Padovesi,632,Spain,Female,40,3,109740.62,1,1,0,141896.74,0
1932,1933,15586993,Giordano,655,Spain,Female,56,5,0.0,2,1,1,41782.7,0
1941,1942,15645956,Jideofor,452,Spain,Male,44,3,88915.85,1,1,0,69697.74,0
1944,1945,15687310,Humphries,783,Spain,Male,39,9,0.0,2,1,0,143752.77,0
1948,1949,15569187,Fleming,680,Spain,Male,35,9,0.0,2,0,0,143774.06,0
1954,1955,15600734,Townsend,624,Spain,Male,51,5,174397.21,2,1,1,172372.63,0
1960,1961,15623647,Dellucci,655,Spain,Female,36,1,135515.76,1,1,0,86013.96,0
1961,1962,15668472,Ritchie,705,Spain,Female,24,5,177799.83,2,0,0,79886.06,0
1962,1963,15692416,Aikenhead,358,Spain,Female,52,8,143542.36,3,1,0,141959.11,1
1967,1968,15598088,Ni,559,Spain,Male,25,5,0.0,2,1,1,163221.22,0
1968,1969,15693468,Simmons,488,Spain,Female,39,9,140553.46,1,0,0,12440.44,0
1971,1972,15780954,Cran,582,Spain,Male,26,4,65848.36,2,1,0,30149.21,0
1972,1973,15700174,McKay,733,Spain,Female,30,0,83319.28,1,0,0,57769.2,0
1976,1977,15694192,Nwankwo,598,Spain,Female,38,6,0.0,2,0,0,173783.38,0
1977,1978,15585901,Johnson,717,Spain,Male,35,1,0.0,3,0,0,174770.14,1
1981,1982,15630913,Rosas,476,Spain,Female,69,1,105303.73,1,0,1,134260.34,0
1983,1984,15587913,Palerma,748,Spain,Female,40,4,0.0,2,1,0,132368.47,0
1984,1985,15737605,Morris,531,Spain,Female,45,1,126495.57,2,1,1,164741.5,0
1985,1986,15627876,Pavlova,719,Spain,Female,47,9,116393.59,1,1,0,63051.32,1
1988,1989,15657107,Angelo,563,Spain,Female,46,8,106171.68,1,1,0,163145.5,1
1989,1990,15622454,Zaitsev,695,Spain,Male,28,0,96020.86,1,1,1,57992.49,0
1990,1991,15775803,Cawker,841,Spain,Male,41,1,0.0,2,0,1,193093.77,0
2010,2011,15612050,Castiglione,556,Spain,Female,48,8,168522.37,1,1,1,151310.16,0
2017,2018,15602929,Wilson,728,Spain,Female,37,4,0.0,1,0,0,4539.38,0
2024,2025,15633043,Fedorova,545,Spain,Female,39,6,0.0,1,0,0,38410.74,1
2026,2027,15603088,Rossi,451,Spain,Female,23,9,0.0,2,0,1,48021.71,0
2030,2031,15746190,Payton,624,Spain,Female,28,2,0.0,2,0,1,104353.26,0
2033,2034,15679909,Pugliesi,665,Spain,Male,41,8,0.0,2,1,0,132152.32,0
2036,2037,15756875,Freeman,782,Spain,Male,34,6,147422.44,1,0,1,42143.61,0
2037,2038,15678146,Wong,668,Spain,Female,24,7,173962.32,1,0,0,106457.11,1
2056,2057,15577078,Zakharov,539,Spain,Male,38,6,0.0,1,1,1,152880.07,1
2059,2060,15668081,Capon,581,Spain,Female,50,4,0.0,2,1,1,80701.72,0
2060,2061,15747980,Cattaneo,737,Spain,Male,38,6,146282.79,2,1,0,198516.2,0
2068,2069,15629338,Collingridge de Tourcey,658,Spain,Female,31,2,36566.96,1,1,0,103644.98,1
2071,2072,15697214,Korovin,686,Spain,Female,36,5,0.0,2,1,1,152979.14,0
2073,2074,15573309,Ward,626,Spain,Female,48,2,0.0,2,1,1,95794.98,0
2077,2078,15744843,K'ung,569,Spain,Female,34,6,144855.34,1,0,0,196555.32,0
2082,2083,15617617,Stewart,811,Spain,Male,39,7,0.0,2,1,1,177519.39,0
2086,2087,15578908,Todd,725,Spain,Female,32,0,0.0,2,1,1,138525.19,0
2090,2091,15602551,Johnson,667,Spain,Male,39,9,0.0,2,1,0,68873.8,0
2092,2093,15757408,Lo,655,Spain,Male,38,3,250898.09,3,0,1,81054.0,1
2094,2095,15813022,Kapustina,531,Spain,Male,70,1,0.0,2,0,0,99503.19,0
2097,2098,15689168,Munro,531,Spain,Male,37,1,143407.29,2,0,1,84402.46,0
2101,2102,15778934,Napolitani,678,Spain,Female,49,8,0.0,2,0,1,98090.69,0
2107,2108,15714586,Marcelo,646,Spain,Female,42,3,99836.47,1,0,1,22909.56,0
2109,2110,15589224,Moore,596,Spain,Male,41,5,0.0,2,0,1,141053.85,0
2112,2113,15631201,Hill,472,Spain,Female,28,4,0.0,2,1,0,1801.77,0
2114,2115,15746594,Wu,732,Spain,Male,33,8,0.0,1,1,0,119882.7,0
2122,2123,15732740,Plant,765,Spain,Female,32,9,178095.55,1,0,0,47247.56,0
2132,2133,15599722,Chia,609,Spain,Female,43,6,86053.52,2,1,1,113276.46,1
2138,2139,15688619,Scott,718,Spain,Male,45,3,105266.32,2,1,1,193724.51,0
2144,2145,15613712,Boag,634,Spain,Male,34,1,0.0,2,1,0,61995.57,0
2145,2146,15639322,Grave,633,Spain,Male,33,4,137847.41,2,1,0,98349.13,0
2148,2149,15811842,Artemyeva,630,Spain,Male,26,7,0.0,2,1,1,6656.64,0
2149,2150,15648794,Giordano,836,Spain,Male,57,4,101247.06,1,1,0,37141.62,1
2164,2165,15794479,Becker,767,Spain,Male,77,8,149083.7,1,1,1,190146.83,0
2176,2177,15704746,Inman,699,Spain,Male,35,2,167455.66,2,1,1,55324.49,0
2178,2179,15609562,MacDonald,774,Spain,Female,43,1,116360.07,1,1,0,17004.14,0
2179,2180,15787459,Parkes,745,Spain,Male,40,3,88466.82,1,0,0,116331.42,0
2182,2183,15724889,Chinweuba,665,Spain,Male,38,9,0.0,1,0,1,87412.74,0
2185,2186,15730397,Narelle,739,Spain,Male,40,1,109681.61,1,1,1,193321.3,0
2187,2188,15589320,Sagese,699,Spain,Male,34,8,0.0,1,1,1,76510.46,0
2188,2189,15799211,Anenechi,708,Spain,Female,32,8,187487.63,1,1,1,120115.5,0
2191,2192,15583548,Harrison,525,Spain,Female,47,6,118560.0,1,1,0,82522.61,1
2195,2196,15735246,Norman,798,Spain,Female,58,9,0.0,2,0,0,119071.56,1
2197,2198,15670753,Uvarova,614,Spain,Male,35,2,127283.78,1,1,1,31302.35,0
2198,2199,15573876,Chia,473,Spain,Male,48,8,0.0,2,1,0,71139.8,0
2202,2203,15751788,Johnson,850,Spain,Male,28,9,97408.03,1,1,1,175853.64,0
2203,2204,15672598,Walker,613,Spain,Male,30,9,111927.45,1,1,1,175795.87,0
2205,2206,15812982,Francis,509,Spain,Male,38,2,0.0,1,0,0,168460.12,0
2209,2210,15764237,Manfrin,663,Spain,Male,33,9,0.0,2,0,0,91514.62,0
2217,2218,15610337,Stephens,666,Spain,Male,35,2,104832.49,1,1,0,175015.12,0
2218,2219,15752488,Emery,733,Spain,Female,31,9,102289.85,1,1,1,115441.66,0
2224,2225,15691723,Chukwudi,631,Spain,Male,55,9,99685.06,1,1,0,114474.98,0
2226,2227,15750808,Ma,790,Spain,Male,46,2,131365.37,2,1,1,180290.68,0
2227,2228,15744368,Sun,633,Spain,Male,58,6,98308.51,1,1,1,132034.13,0
2229,2230,15756125,Booth,757,Spain,Male,44,5,140856.16,2,1,0,158735.1,0
2232,2233,15671969,Pruneda,649,Spain,Male,36,8,0.0,2,1,0,161668.15,0
2233,2234,15791268,Neumann,565,Spain,Male,38,0,122447.76,1,0,0,67339.34,0
2235,2236,15633930,Yobachukwu,648,Spain,Female,56,6,157559.59,2,1,0,140991.23,1
2243,2244,15780038,Paterson,756,Spain,Male,38,6,119208.85,1,1,0,169763.89,1
2246,2247,15800326,Poole,717,Spain,Female,39,6,0.0,2,1,0,93275.61,0
2248,2249,15783958,Bates,539,Spain,Female,37,1,130922.81,2,0,0,2186.83,0
2250,2251,15739576,Bustard,706,Spain,Male,20,8,0.0,2,1,1,12368.11,0
2251,2252,15631333,Wade,677,Spain,Female,25,8,130866.19,1,1,0,42410.21,0
2253,2254,15589643,Ngozichukwuka,684,Spain,Female,41,7,0.0,1,1,1,138394.37,0
2255,2256,15681506,Lane,478,Spain,Male,43,1,0.0,2,1,1,197916.43,0
2257,2258,15698349,Davy,686,Spain,Female,35,4,0.0,2,1,1,159676.55,0
2273,2274,15679299,Shen,726,Spain,Female,27,7,123826.07,1,0,1,78970.58,0
2279,2280,15590730,Hunt,745,Spain,Male,34,9,0.0,2,1,0,50046.25,0
2290,2291,15674880,Archer,658,Spain,Male,50,2,0.0,2,1,0,52137.73,0
2291,2292,15778157,Murray,598,Spain,Male,27,8,90721.52,2,1,0,109296.18,0
2293,2294,15801265,Tang,689,Spain,Female,45,0,57784.22,1,1,0,197804.0,1
2300,2301,15647266,Y?an,651,Spain,Female,45,10,135923.16,1,1,0,18732.84,0
2303,2304,15635078,Chiemela,714,Spain,Male,45,0,124693.48,1,0,1,187194.15,0
2304,2305,15680141,Yuan,759,Spain,Female,35,7,147936.42,1,1,1,106785.7,0
2314,2315,15756056,Ku,561,Spain,Female,28,3,0.0,2,1,0,191387.76,0
2318,2319,15648005,Russell,672,Spain,Male,33,2,0.0,2,1,1,182738.0,0
2322,2323,15709928,Niu,567,Spain,Female,41,1,0.0,2,1,0,3414.72,0
2325,2326,15612193,Hsia,762,Spain,Male,29,10,115545.33,2,1,0,148256.43,0
2326,2327,15762984,McIntosh,648,Spain,Male,35,7,0.0,2,0,0,122899.01,0
2328,2329,15664204,Meany,706,Spain,Male,29,2,0.0,2,1,1,18255.51,0
2330,2331,15806332,Le Gallienne,484,Spain,Female,39,5,0.0,2,1,1,175224.12,0
2333,2334,15635972,Lloyd,484,Spain,Male,36,8,0.0,2,1,0,186136.48,0
2334,2335,15616380,Wheeler,803,Spain,Female,37,1,0.0,2,0,0,7455.2,0
2337,2338,15660688,King,701,Spain,Female,35,9,0.0,2,0,0,170996.86,0
2342,2343,15788535,Tan,593,Spain,Male,44,5,0.0,1,1,0,128046.98,0
